ok,param_prob-threshold,param_stop,param_take,param_trail,param_size,error,stderr
False,0.6,0.005,0.03,,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.03,,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.03,0.02,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.03,0.02,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.05,,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.05,,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.05,0.02,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.005,0.05,0.02,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.03,,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.03,,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.03,0.02,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.03,0.02,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.05,,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.05,,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.05,0.02,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.6,0.01,0.05,0.02,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.65,0.005,0.03,,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.65,0.005,0.03,,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.65,0.005,0.03,0.02,0.25,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
False,0.65,0.005,0.03,0.02,0.5,"Failed to read metrics: Error tokenizing data. C error: Expected 11 fields in line 5, saw 18
",
