ticker,name,price,pct_change,volume,market_cap,category,timestamp,signal,confidence,reason
VICR,Vicor Corporation,85.76,30.334345,3370114,3362252544,Top Gainers,2025-10-22 19:12:24 EST,BUY,90,Premarket breakout momentum
TNL,Travel   Leisure Co.,69.91,15.2299,2065958,4544669184,Top Gainers,2025-10-22 19:12:24 EST,BUY,89,Premarket breakout momentum
PEGA,Pegasystems Inc.,65.59,14.96932,4832590,11221180416,Top Gainers,2025-10-22 19:12:24 EST,BUY,96,Premarket breakout momentum
ISRG,"Intuitive Surgical, Inc.",527.03,13.893339,8315269,188927885312,Top Gainers,2025-10-22 19:12:24 EST,BUY,92,Premarket breakout momentum
UUUU,Energy Fuels Inc,22.74,10.2278,39788937,5338355712,Top Gainers,2025-10-22 19:12:24 EST,BUY,90,Premarket breakout momentum
AVY,Avery Dennison Corporation,179.04,9.4845,1840194,13961823232,Top Gainers,2025-10-22 19:12:24 EST,WATCH,79,Uptrend forming with solid volume
HTFL,"Heartflow, Inc.",39.305,7.273474,513511,3277883904,Top Gainers,2025-10-22 19:12:24 EST,WATCH,84,Uptrend forming with solid volume
PFSI,"PennyMac Financial Services, In",129.57,7.16235,1115803,6700069376,Top Gainers,2025-10-22 19:12:24 EST,WATCH,78,Uptrend forming with solid volume
CELC,Celcuity Inc.,70.04,6.931299,1698470,2971566848,Top Gainers,2025-10-22 19:12:24 EST,WATCH,77,Uptrend forming with solid volume
KNTK,Kinetik Holdings Inc.,38.98,6.64843,1524818,2396276480,Top Gainers,2025-10-22 19:12:24 EST,WATCH,84,Uptrend forming with solid volume
SBSW,D/B/A Sibanye-Stillwater Limite,10.96,5.89372,9762251,8661899264,Top Gainers,2025-10-22 19:12:24 EST,WATCH,74,Uptrend forming with solid volume
DK,"Delek US Holdings, Inc.",35.57,5.61164,1570904,2157409024,Top Gainers,2025-10-22 19:12:24 EST,WATCH,80,Uptrend forming with solid volume
WDS,Woodside Energy Group Limited,15.27,5.60166,1392977,28993910784,Top Gainers,2025-10-22 19:12:24 EST,WATCH,73,Uptrend forming with solid volume
FRPT,"Freshpet, Inc.",57.51,5.426213,1678567,2805330432,Top Gainers,2025-10-22 19:12:24 EST,WATCH,85,Uptrend forming with solid volume
HGV,Hilton Grand Vacations Inc.,46.09,5.27639,900674,4061272320,Top Gainers,2025-10-22 19:12:24 EST,WATCH,74,Uptrend forming with solid volume
STC,Stewart Information Services Co,75.19,5.16084,527479,2105209088,Top Gainers,2025-10-22 19:12:24 EST,WATCH,84,Uptrend forming with solid volume
PBF,PBF Energy Inc.,29.48,5.06059,2530612,3492236544,Top Gainers,2025-10-22 19:12:24 EST,WATCH,86,Uptrend forming with solid volume
OII,"Oceaneering International, Inc.",24.7,4.48393,666746,2475127808,Top Gainers,2025-10-22 19:12:24 EST,WATCH,86,Uptrend forming with solid volume
BCS,Barclays PLC,20.35,4.41252,9631961,70879772672,Top Gainers,2025-10-22 19:12:24 EST,WATCH,73,Uptrend forming with solid volume
CVI,CVR Energy Inc.,36.28,4.40287,1356158,3647249920,Top Gainers,2025-10-22 19:12:24 EST,WATCH,79,Uptrend forming with solid volume
HAL,Halliburton Company,26.31,4.2393,21669085,22431961088,Top Gainers,2025-10-22 19:12:24 EST,WATCH,83,Uptrend forming with solid volume
SLB,SLB Limited,34.9,4.11695,18631984,52140601344,Top Gainers,2025-10-22 19:12:24 EST,WATCH,80,Uptrend forming with solid volume
BMA,Banco Macro S.A.,55.4,4.03756,801161,3700779264,Top Gainers,2025-10-22 19:12:24 EST,WATCH,77,Uptrend forming with solid volume
BSX,Boston Scientific Corporation,103.85,3.95395,15920595,153879904256,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,57,Low volatility or sideways movement
DORM,"Dorman Products, Inc.",154.02,3.9341397,350564,4702884352,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,59,Low volatility or sideways movement
VAC,Marriott Vacations Worldwide Co,71.87,3.88841,755452,2486881792,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,64,Low volatility or sideways movement
SF,Stifel Financial Corporation,116.69,3.83521,1659959,11922615296,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,63,Low volatility or sideways movement
NXE,Nexgen Energy Ltd.,8.47,3.79903,13399398,5714170368,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,59,Low volatility or sideways movement
CERT,"Certara, Inc.",12.72,3.6674802,1825181,2043132032,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,57,Low volatility or sideways movement
APH,Amphenol Corporation,128.93,3.60816,22122551,158943969280,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,58,Low volatility or sideways movement
EWBC,"East West Bancorp, Inc.",102.36,3.5927567,1838577,14107435008,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,69,Low volatility or sideways movement
IRDM,Iridium Communications Inc,19.66,3.5827205,6378297,2086199680,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,61,Low volatility or sideways movement
SSL,Sasol Ltd.,5.52,3.56473,1014435,3598883840,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,65,Low volatility or sideways movement
BP,BP p.l.c.,34.32,3.49819,6747439,88014692352,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,55,Low volatility or sideways movement
HLT,Hilton Worldwide Holdings Inc.,275.06,3.42157,3197951,64692396032,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,55,Low volatility or sideways movement
DINO,HF Sinclair Corporation,52.89,3.38155,1995542,10030075904,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,59,Low volatility or sideways movement
IMO,Imperial Oil Limited,88.12,3.36657,412257,44857044992,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,69,Low volatility or sideways movement
INDV,Indivior PLC,24.9,3.3623888,1282403,3157064704,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,58,Low volatility or sideways movement
FRO,Frontline Plc,23.59,3.32895,2685352,5373591552,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,68,Low volatility or sideways movement
PKX,POSCO Holdings Inc.,53.09,3.32814,139852,16148678656,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,56,Low volatility or sideways movement
EQNR,Equinor ASA,23.97,3.27445,3843975,60267184128,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,56,Low volatility or sideways movement
WAL,Western Alliance Bancorporation,78.72,3.23935,2304505,8688233472,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,69,Low volatility or sideways movement
DKNG,DraftKings Inc.,34.7,3.2123792,18126863,17473472512,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,62,Low volatility or sideways movement
OMC,Omnicom Group Inc.,81.23,3.20163,6523891,15736111104,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,62,Low volatility or sideways movement
PM,Philip Morris International Inc,156.86,3.19737,12554183,253901144064,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,56,Low volatility or sideways movement
CWST,"Casella Waste Systems, Inc.",89.99,3.1758733,641181,5624578560,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,56,Low volatility or sideways movement
CF,"CF Industries Holdings, Inc.",85.93,3.16965,2762724,13955099648,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,61,Low volatility or sideways movement
IPG,"Interpublic Group of Companies,",27.78,3.11804,10061073,10174880768,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,70,Low volatility or sideways movement
FMX,Fomento Economico Mexicano S.A.,96.0,3.11493,408505,35987341312,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,63,Low volatility or sideways movement
MPC,Marathon Petroleum Corporation,188.54,3.10056,1709632,57821499392,Top Gainers,2025-10-22 19:12:24 EST,NEUTRAL,57,Low volatility or sideways movement
HUT,Hut 8 Corp.,38.84,-17.220798,18538108,4233231616,Top Losers,2025-10-22 19:12:24 EST,SELL,93,Bearish reversal or heavy sell-off
LEU,Centrus Energy Corp.,314.83,-16.4929,3368376,5780573696,Top Losers,2025-10-22 19:12:24 EST,SELL,82,Bearish reversal or heavy sell-off
QBTS,D-Wave Quantum Inc.,27.29,-15.2221,76073590,11114010624,Top Losers,2025-10-22 19:12:24 EST,SELL,89,Bearish reversal or heavy sell-off
OKLO,Oklo Inc.,120.12,-13.8554,33251660,20776235008,Top Losers,2025-10-22 19:12:24 EST,SELL,82,Bearish reversal or heavy sell-off
GLXY,Galaxy Digital Inc.,37.34,-12.879142,15574729,12385193984,Top Losers,2025-10-22 19:12:24 EST,SELL,89,Bearish reversal or heavy sell-off
QS,QuantumScape Corporation,13.58,-12.5,56348899,7607337984,Top Losers,2025-10-22 19:12:24 EST,SELL,90,Bearish reversal or heavy sell-off
DGNX,Diginex Limited,13.32,-12.368422,514939,2704031488,Top Losers,2025-10-22 19:12:24 EST,SELL,82,Bearish reversal or heavy sell-off
CIFR,Cipher Mining Inc.,16.11,-10.871369,62853758,6575951360,Top Losers,2025-10-22 19:12:24 EST,SELL,91,Bearish reversal or heavy sell-off
LII,"Lennox International, Inc.",493.07,-10.186,1938650,17318729728,Top Losers,2025-10-22 19:12:24 EST,SELL,89,Bearish reversal or heavy sell-off
CLSK,"CleanSpark, Inc.",16.86,-10.175812,35811457,4929689088,Top Losers,2025-10-22 19:12:24 EST,SELL,92,Bearish reversal or heavy sell-off
NFLX,"Netflix, Inc.",1116.37,-10.068069,14521661,474374995968,Top Losers,2025-10-22 19:12:24 EST,SELL,90,Bearish reversal or heavy sell-off
RGTI,"Rigetti Computing, Inc.",36.06,-9.849997,114436825,13553854464,Top Losers,2025-10-22 19:12:24 EST,SELL,89,Bearish reversal or heavy sell-off
MTDR,Matador Resources Company,39.68,-9.63334,7499493,4939938816,Top Losers,2025-10-22 19:12:24 EST,SELL,82,Bearish reversal or heavy sell-off
BE,Bloom Energy Corporation,94.37,-9.58995,16215655,23588679680,Top Losers,2025-10-22 19:12:24 EST,SELL,87,Bearish reversal or heavy sell-off
SMR,NuScale Power Corporation,34.72,-9.51263,38724679,5361178624,Top Losers,2025-10-22 19:12:24 EST,SELL,93,Bearish reversal or heavy sell-off
BTDR,Bitdeer Technologies Group,21.42,-9.505703,9999903,4649115136,Top Losers,2025-10-22 19:12:24 EST,SELL,83,Bearish reversal or heavy sell-off
NVTS,Navitas Semiconductor Corporati,13.605,-9.48104,54362228,2899324416,Top Losers,2025-10-22 19:12:24 EST,SELL,94,Bearish reversal or heavy sell-off
ASTS,"AST SpaceMobile, Inc.",71.35,-9.235469,27513144,27391928320,Top Losers,2025-10-22 19:12:24 EST,SELL,84,Bearish reversal or heavy sell-off
IESC,"IES Holdings, Inc.",359.98,-9.206013,162103,7147210240,Top Losers,2025-10-22 19:12:24 EST,SELL,90,Bearish reversal or heavy sell-off
ECG,"Everus Construction Group, Inc.",82.03,-9.06773,776963,4184069376,Top Losers,2025-10-22 19:12:24 EST,SELL,86,Bearish reversal or heavy sell-off
NTLA,"Intellia Therapeutics, Inc.",24.58,-8.861696,6140215,2638586624,Top Losers,2025-10-22 19:12:24 EST,SELL,90,Bearish reversal or heavy sell-off
STRL,"Sterling Infrastructure, Inc.",332.75,-8.665462,772094,10217123840,Top Losers,2025-10-22 19:12:24 EST,SELL,89,Bearish reversal or heavy sell-off
USAR,"USA Rare Earth, Inc.",24.46,-8.492332,19152195,2888520704,Top Losers,2025-10-22 19:12:24 EST,SELL,83,Bearish reversal or heavy sell-off
FRMI,Fermi Inc.,19.89,-8.383232,7692884,14784344064,Top Losers,2025-10-22 19:12:24 EST,SELL,90,Bearish reversal or heavy sell-off
SITM,SiTime Corporation,265.49,-8.375904,447405,6903794176,Top Losers,2025-10-22 19:12:24 EST,SELL,91,Bearish reversal or heavy sell-off
CVNA,Carvana Co.,326.88,-8.14623,5791555,38227636224,Top Losers,2025-10-22 19:12:24 EST,SELL,89,Bearish reversal or heavy sell-off
RIOT,"Riot Platforms, Inc.",18.99,-8.127723,19977325,7019143680,Top Losers,2025-10-22 19:12:24 EST,SELL,93,Bearish reversal or heavy sell-off
BLSH,Bullish,52.63,-8.10197,3366803,7693650432,Top Losers,2025-10-22 19:12:24 EST,SELL,87,Bearish reversal or heavy sell-off
CRSP,CRISPR Therapeutics AG,66.52,-8.019916,3175298,6050021888,Top Losers,2025-10-22 19:12:24 EST,SELL,94,Bearish reversal or heavy sell-off
SYM,Symbotic Inc.,64.44,-7.797964,2041978,37305499648,Top Losers,2025-10-22 19:12:24 EST,SELL,83,Bearish reversal or heavy sell-off
NNE,Nano Nuclear Energy Inc.,38.85,-7.6977944,6090570,2213452032,Top Losers,2025-10-22 19:12:24 EST,SELL,91,Bearish reversal or heavy sell-off
PATH,"UiPath, Inc.",15.03,-7.67814,25872799,7569445888,Top Losers,2025-10-22 19:12:24 EST,SELL,84,Bearish reversal or heavy sell-off
EOSE,"Eos Energy Enterprises, Inc.",15.06,-7.607355,27364924,4204998912,Top Losers,2025-10-22 19:12:24 EST,SELL,91,Bearish reversal or heavy sell-off
AMSC,American Superconductor Corpora,54.78,-7.559905,1730029,2505643008,Top Losers,2025-10-22 19:12:24 EST,SELL,85,Bearish reversal or heavy sell-off
